camara_comercio,estado_matricula,total
ARMENIA,CANCELADA,111795
ARMENIA,ACTIVA,43283
ARMENIA,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,860
ARMENIA,NO MATRICULADO,68
ARMENIA,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",65
ARMENIA,,62
ARMENIA,NO ASIGNADO,27
BARRANQUILLA,ACTIVA,222609
BARRANQUILLA,CANCELADA,167693
BARRANQUILLA,MATRÍCULA CANCELADA LEY 1429,59577
BARRANQUILLA,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,4375
BARRANQUILLA,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",323
BARRANQUILLA,NO MATRICULADO,15
BARRANQUILLA,INACTIVA,7
BARRANQUILLA,SIN ESTADO,1
BOGOTA,ACTIVA,1190567
BOGOTA,CANCELADA,1148887
BOGOTA,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,21240
BOGOTA,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",784
BOGOTA,MATRÍCULA CANCELADA LEY 1429,177
BOGOTA,NO COMPETENCIA DE LA CAMARA,106
BOGOTA,NO ASIGNADO,44
BOGOTA,,1
BUCARAMANGA,CANCELADA,238573
BUCARAMANGA,ACTIVA,158298
BUCARAMANGA,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,5767
BUCARAMANGA,MATRICULA INACTIVA POR PERDIDA DE CALIDAD DE COMERCIANTE,2199
BUCARAMANGA,MATRÍCULA CANCELADA LEY 1429,1260
BUCARAMANGA,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",364
BUCARAMANGA,,2
CALI,ACTIVA,245855
CALI,CANCELADA,238276
CALI,MATRÍCULA CANCELADA LEY 1429,61642
CALI,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,4822
CALI,NO ASIGNADO,2170
CALI,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",1244
CALI,MATRICULA INACTIVA POR PERDIDA DE CALIDAD DE COMERCIANTE,35
CALI,NO COMPETENCIA DE LA CAMARA,8
CALI,,1
CALI,SIN ESTADO,1
CARTAGENA,ACTIVA,119963
CARTAGENA,CANCELADA,95205
CARTAGENA,MATRÍCULA CANCELADA LEY 1429,23439
CARTAGENA,NO ASIGNADO,13817
CARTAGENA,SIN ESTADO,2432
CARTAGENA,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,2012
CARTAGENA,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",98
CARTAGENA,MATRÍCULA CANCELADA POR FUSIÓN,63
CARTAGENA,INACTIVA,2
CUCUTA,CANCELADA,149379
CUCUTA,ACTIVA,103085
CUCUTA,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,1609
CUCUTA,NO COMPETENCIA DE LA CAMARA,333
CUCUTA,,159
CUCUTA,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",56
CUCUTA,NO MATRICULADO,14
CUCUTA,NO ASIGNADO,9
HUILA,CANCELADA,161941
HUILA,ACTIVA,80206
HUILA,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,1090
HUILA,,168
HUILA,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",58
HUILA,NO ASIGNADO,19
HUILA,NO MATRICULADO,1
IBAGUE,CANCELADA,134060
IBAGUE,ACTIVA,66836
IBAGUE,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,1304
IBAGUE,,512
IBAGUE,NO COMPETENCIA DE LA CAMARA,318
IBAGUE,NO MATRICULADO,207
IBAGUE,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",62
IBAGUE,NO ASIGNADO,21
IBAGUE,INACTIVA,1
MANIZALES,CANCELADA,114029
MANIZALES,ACTIVA,46301
MANIZALES,,1233
MANIZALES,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,750
MANIZALES,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",31
MANIZALES,NO ASIGNADO,27
MANIZALES,NO MATRICULADO,1
MEDELLIN PARA ANTIOQUIA,CANCELADA,319822
MEDELLIN PARA ANTIOQUIA,ACTIVA,312705
MEDELLIN PARA ANTIOQUIA,MATRÍCULA CANCELADA LEY 1429,72669
MEDELLIN PARA ANTIOQUIA,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,14290
MEDELLIN PARA ANTIOQUIA,SIN ESTADO,12525
MEDELLIN PARA ANTIOQUIA,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",6281
MEDELLIN PARA ANTIOQUIA,NO ASIGNADO,1635
MEDELLIN PARA ANTIOQUIA,MATRÍCULA CANCELADA POR FUSIÓN,657
MEDELLIN PARA ANTIOQUIA,MATRÍCULA CANCELADA POR RECONSTITUCIÓN.,38
PASTO,CANCELADA,59248
PASTO,ACTIVA,55201
PASTO,MATRÍCULA CANCELADA LEY 1429,8427
PASTO,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,683
PASTO,NO ASIGNADO,249
PASTO,,64
PASTO,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",26
PASTO,NO MATRICULADO,3
PASTO,NO COMPETENCIA DE LA CAMARA,1
PEREIRA,CANCELADA,147761
PEREIRA,ACTIVA,54898
PEREIRA,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,620
PEREIRA,NO ASIGNADO,173
PEREIRA,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",127
PEREIRA,,106
SANTA MARTA PARA EL MAGDALENA,CANCELADA,96130
SANTA MARTA PARA EL MAGDALENA,ACTIVA,73808
SANTA MARTA PARA EL MAGDALENA,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,1150
SANTA MARTA PARA EL MAGDALENA,NO COMPETENCIA DE LA CAMARA,357
SANTA MARTA PARA EL MAGDALENA,NO MATRICULADO,70
SANTA MARTA PARA EL MAGDALENA,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",69
SANTA MARTA PARA EL MAGDALENA,,32
SANTA MARTA PARA EL MAGDALENA,NO ASIGNADO,14
SOGAMOSO,CANCELADA,36906
SOGAMOSO,ACTIVA,19854
SOGAMOSO,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,352
SOGAMOSO,NO COMPETENCIA DE LA CAMARA,63
SOGAMOSO,,49
SOGAMOSO,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",22
SOGAMOSO,NO ASIGNADO,1
TUNJA,CANCELADA,80177
TUNJA,ACTIVA,55230
TUNJA,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,810
TUNJA,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",59
TUNJA,,34
TUNJA,NO MATRICULADO,31
TUNJA,NO COMPETENCIA DE LA CAMARA,2
TUNJA,NO ASIGNADO,1
VILLAVICENCIO,CANCELADA,167623
VILLAVICENCIO,ACTIVA,115881
VILLAVICENCIO,MATRÍCULA CANCELADA POR TRASLADO DE DOMICILIO,1501
VILLAVICENCIO,NO COMPETENCIA DE LA CAMARA,352
VILLAVICENCIO,"MATRÍCULA NUEVA, CONSTITUCIÓN POR TRASLADO",124
VILLAVICENCIO,,34
VILLAVICENCIO,NO ASIGNADO,11
