camara_comercio,total_registros,activas,canceladas,pct_activas
BOGOTA,2361806,1190567.0,1170304.0,50.4
MEDELLIN PARA ANTIOQUIA,740622,312705.0,407476.0,42.2
CALI,554054,245890.0,304740.0,44.4
BARRANQUILLA,454600,222616.0,231645.0,49.0
BUCARAMANGA,406463,160497.0,245600.0,39.5
VILLAVICENCIO,285526,115881.0,169124.0,40.6
CARTAGENA,257031,119965.0,120719.0,46.7
CUCUTA,254644,103085.0,150988.0,40.5
HUILA,243483,80206.0,163031.0,32.9
PEREIRA,203685,54898.0,148381.0,27.0
IBAGUE,203321,66837.0,135364.0,32.9
SANTA MARTA PARA EL MAGDALENA,171630,73808.0,97280.0,43.0
MANIZALES,162372,46301.0,114779.0,28.5
ARMENIA,156160,43283.0,112655.0,27.7
TUNJA,136344,55230.0,80987.0,40.5
PASTO,123902,55201.0,68358.0,44.6
SOGAMOSO,57247,19854.0,37258.0,34.7
