organizacion_juridica,total,porcentaje
PERSONA NATURAL,4838714,71.4
SOCIEDADES POR ACCIONES SIMPLIFICADAS SAS,1035435,15.3
SOCIEDAD LIMITADA,451479,6.7
"LAS DEMÁS ORGANIZACIONES CIVILES,CORPORACIONES,FUNDACIONES",78335,1.2
EMPRESAS UNIPERSONALES,67171,1.0
SOCIEDAD ANONIMA,46545,0.7
FUNDACIONES,39472,0.6
CORPORACIONES,35326,0.5
SOCIEDAD EN COMANDITA SIMPLE,33113,0.5
"CORPORACIONES, ASOCIACIONES Y FUNDACIONES CREADAS PARA ADELANTAR ACTIVIDADES EN COMUNIDADES INDÍGENAS.",31159,0.5
"ASOCIACIONES, CORPORACIONES, FUNDACIONES E INSTITUCIONES DE UTILIDAD COMÚN (GREMIALES, DE BENEFICENCIA; PROFESIONALES, JUVENILES, SOCIALES, DEMOCRÁTICAS Y PARTICIPATIVAS, CÍVICAS Y COMUNITARIAS, DE EGRESADOS, DE REHABILITACIÓN SOCIAL Y AYUDA A INDIGENTES Y CLUBES SOCIALES).",26879,0.4
ENTIDADES DE NATURALEZA COOPERATIVA,22420,0.3
OTRAS SOCIEDADES,16661,0.2
EMPRESAS ASOCIATIVAS DE TRABAJO,13281,0.2
"COOPERATIVAS, FEDERACIONES Y CONFEDERACIONES, INSTITUCIONES AUXILIARES DE LA ECONOMÍA SOLIDARIA Y PRECOOPERATIVAS.",7662,0.1
SOCIEDAD EXTRANJERA,5307,0.1
ASOCIACIONES AGROPECUARIAS Y CAMPESINAS NACIONALES Y NO NACIONALES,4791,0.1
SOCIEDAD EN COMANDITA POR ACCIONES,4620,0.1
ASOCIACIONES DE PADRES DE FAMILIA,2631,0.0
ASOCIACIONES MUTUALES,1948,0.0
FONDO DE EMPLEADOS,1892,0.0
,1361,0.0
ASOCIACIONES DE COPROPIETARIOS COARRENDATARIOS,1315,0.0
ASOCIACIONES SIN ÁNIMO DE LUCRO O DE ECONOMÍA SOLIDARIA FORMADAS POR PADRES DE FAMILIA Y EDUCADORES.,1285,0.0
"ENTIDADES CUYO OBJETO SEA EL DESARROLLO DE PLANES Y PROGRAMAS DE VIVIENDA DE INTERÉS SOCIAL, EXCEPTO SI SE TRATA DE ENTIDADES SIN ÁNIMO DE LUCRO INTEGRADAS POR FAMILIAS INTERESADAS EN LA AUTOCONSTRUCCIÓN DE SUS VIVIENDAS.",965,0.0
SOCIEDAD COLECTIVA,838,0.0
ENTIDADES AMBIENTALISTAS,571,0.0
"ENTIDADES CIENTÍFICAS, TECNOLÓGICAS, CULTURALES, E INVESTIGATIVAS",542,0.0
JUNTAS DE ACCION COMUNAL,340,0.0
VEEDURIA,247,0.0
INSTITUCIONES AUXILIARES DEL COOPERATIVISMO,113,0.0
SOCIEDAD AGRARIA DE TRANSFORMACIÓN,79,0.0
ORGANIZACIONES EXTRANJERAS NO GUBERNAMENTALES CON DOMICILIO EN EL EXTERIOR.,77,0.0
ASOCIACIÓN CAMPESINA TERRITORIAL MUNICIPAL,50,0.0
ORGANIZACIONES POPULARES DE VIVIENDA.,43,0.0
ASOCIACIONES DE INSTITUCIONES EDUCATIVAS.,42,0.0
ASOCIACIÓN AGROPECUARIA TERRITORIAL MUNICIPAL,38,0.0
ASOCIACIÓN CAMPESINA TERRITORIAL DEPARTAMENTAL,24,0.0
FEDERACIÓN O CONFEDERACIÓN DE ASOCIACIONES AGROPECUARIAS DE PRIMER GRADO,22,0.0
ASOCIACIÓN AGROPECUARIA NACIONAL,18,0.0
ASOCIACIÓN CAMPESINA NACIONAL,18,0.0
EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,17,0.0
ASOCIACIÓN AGROPECUARIA TERRITORIAL DEPARTAMENTAL,16,0.0
FEDERACIÓN O CONFEDERACIÓN DE ASOCIACIONES CAMPESINAS DE PRIMER GRADO,5,0.0
FEDERACIÓN O CONFEDERACIÓN DE ASOCIACIONES AGROPECUARIAS DE SEGUNDO GRADO,5,0.0
FEDERACIÓN O CONFEDERACIÓN DE ASOCIACIONES CAMPESINAS DE SEGUNDO GRADO,4,0.0
EMPRESAS DE SERVICIOS EN LAS FORMAS DE ADMINISTRACIONES PÚBLICAS COOPERATIVAS.,4,0.0
ASOCIACIÓN CAMPESINA TERRITORIAL REGIONAL,4,0.0
ASOCIACIÓN AGROPECUARIA TERRITORIAL REGIONAL,3,0.0
ASOCIACIÓN CAMPESINA TERRITORIAL DISTRITAL,2,0.0
ASOCIACIÓN AGROPECUARIA TERRITORIAL DISTRITAL,1,0.0
